tipo_encoder,dataset_encoder,dataset_test,batch,tecnica_fusao,precision,precision_std,accuracy,accuracy_std
Encoder,camera1,camera4,128,mult,0.902715,0.0,0.894079,0.0
Encoder,camera1,camera4,128,vote,0.913083,0.0,0.906108,0.0
Encoder,camera1,camera5,128,mean_individual_models,0.849964,0.023504,0.828975,0.034833
Encoder,camera1,camera5,128,sum,0.87574,0.0,0.8565,0.0
Encoder,camera1,camera5,128,mean_probs,0.87574,0.0,0.8565,0.0
Encoder,camera1,camera5,128,max,0.867945,0.0,0.846069,0.0
Encoder,camera1,camera5,128,mult,0.871752,0.0,0.849253,0.0
Encoder,camera1,camera5,128,vote,0.875961,0.0,0.857049,0.0
Encoder,camera1,camera6,128,mean_individual_models,0.878518,0.017289,0.864109,0.024441
Encoder,camera1,camera6,128,sum,0.90481,0.0,0.89144,0.0
Encoder,camera1,camera6,128,mean_probs,0.90481,0.0,0.89144,0.0
Encoder,camera1,camera6,128,max,0.900209,0.0,0.88844,0.0
Encoder,camera1,camera6,128,mult,0.902432,0.0,0.886825,0.0
Encoder,camera1,camera6,128,vote,0.904037,0.0,0.890863,0.0
Encoder,camera1,camera7,128,mean_individual_models,0.839849,0.025434,0.788886,0.044373
Encoder,camera1,camera7,128,sum,0.850871,0.0,0.794255,0.0
Encoder,camera1,camera7,128,mean_probs,0.850871,0.0,0.794255,0.0
Encoder,camera1,camera7,128,max,0.844754,0.0,0.790151,0.0
Encoder,camera1,camera7,128,mult,0.846339,0.0,0.783718,0.0
Encoder,camera1,camera7,128,vote,0.850816,0.0,0.795031,0.0
Encoder,camera1,camera8,128,mean_individual_models,0.867227,0.027533,0.849142,0.039043
Encoder,camera1,camera8,128,sum,0.894888,0.0,0.880112,0.0
Encoder,camera1,camera8,128,mean_probs,0.894888,0.0,0.880112,0.0
Encoder,camera1,camera8,128,max,0.888301,0.0,0.87635,0.0
Encoder,camera1,camera8,128,mult,0.885186,0.0,0.867188,0.0
Encoder,camera1,camera8,128,vote,0.894922,0.0,0.880498,0.0
Encoder,camera1,camera9,128,mean_individual_models,0.848526,0.025203,0.828591,0.041257
Encoder,camera1,camera9,128,sum,0.884587,0.0,0.869583,0.0
Encoder,camera1,camera9,128,mean_probs,0.884587,0.0,0.869583,0.0
Encoder,camera1,camera9,128,max,0.873868,0.0,0.865369,0.0
Encoder,camera1,camera9,128,mult,0.879572,0.0,0.864366,0.0
Encoder,camera1,camera9,128,vote,0.884605,0.0,0.869783,0.0
Encoder,camera1,PUC,128,mean_individual_models,0.777094,0.045767,0.751598,0.045244
Encoder,camera1,PUC,128,sum,0.814807,0.0,0.801114,0.0
Encoder,camera1,PUC,128,mean_probs,0.814807,0.0,0.801114,0.0
Encoder,camera1,PUC,128,max,0.737792,0.0,0.72322,0.0
Encoder,camera1,PUC,128,mult,0.740619,0.0,0.740412,0.0
Encoder,camera1,PUC,128,vote,0.814771,0.0,0.801108,0.0
Encoder,camera1,UFPR04,128,mean_individual_models,0.622701,0.117147,0.6036,0.104077
Encoder,camera1,UFPR04,128,sum,0.711568,0.0,0.704728,0.0
Encoder,camera1,UFPR04,128,mean_probs,0.711568,0.0,0.704728,0.0
Encoder,camera1,UFPR04,128,max,0.526549,0.0,0.47973,0.0
Encoder,camera1,UFPR04,128,mult,0.535621,0.0,0.524483,0.0
Encoder,camera1,UFPR04,128,vote,0.710882,0.0,0.704162,0.0
Encoder,camera1,UFPR05,128,mean_individual_models,0.669897,0.055334,0.629371,0.057474
Encoder,camera1,UFPR05,128,sum,0.710277,0.0,0.6538,0.0
Encoder,camera1,UFPR05,128,mean_probs,0.710277,0.0,0.6538,0.0
Encoder,camera1,UFPR05,128,max,0.756879,0.0,0.731442,0.0
Encoder,camera1,UFPR05,128,mult,0.717452,0.0,0.658122,0.0
Encoder,camera1,UFPR05,128,vote,0.709457,0.0,0.653419,0.0
Encoder,camera1,camera1,256,mean_individual_models,0.903177,0.017905,0.898084,0.022053
Encoder,camera1,camera1,256,sum,0.923494,0.0,0.921552,0.0
Encoder,camera1,camera1,256,mean_probs,0.923494,0.0,0.921552,0.0
Encoder,camera1,camera1,256,max,0.93185,0.0,0.931792,0.0
Encoder,camera1,camera1,256,mult,0.925188,0.0,0.923369,0.0
Encoder,camera1,camera1,256,vote,0.923965,0.0,0.922048,0.0
Encoder,camera1,camera2,256,mean_individual_models,0.94325,0.016,0.939796,0.017428
Encoder,camera1,camera2,256,sum,0.96522,0.0,0.963719,0.0
Encoder,camera1,camera2,256,mean_probs,0.96522,0.0,0.963719,0.0
Encoder,camera1,camera2,256,max,0.97306,0.0,0.971655,0.0
Encoder,camera1,camera2,256,mult,0.948426,0.0,0.943311,0.0
Encoder,camera1,camera2,256,vote,0.96522,0.0,0.963719,0.0
Encoder,camera1,camera3,256,mean_individual_models,0.873852,0.032213,0.866882,0.035704
Encoder,camera1,camera3,256,sum,0.90648,0.0,0.89831,0.0
Encoder,camera1,camera3,256,mean_probs,0.90648,0.0,0.89831,0.0
Encoder,camera1,camera3,256,max,0.924223,0.0,0.921045,0.0
Encoder,camera1,camera3,256,mult,0.913216,0.0,0.906912,0.0
Encoder,camera1,camera3,256,vote,0.905702,0.0,0.897696,0.0
Encoder,camera1,camera4,256,mean_individual_models,0.905481,0.024428,0.896704,0.033666
Encoder,camera1,camera4,256,sum,0.930349,0.0,0.926886,0.0
Encoder,camera1,camera4,256,mean_probs,0.930349,0.0,0.926886,0.0
Encoder,camera1,camera4,256,max,0.925951,0.0,0.922512,0.0
Encoder,camera1,camera4,256,mult,0.921244,0.0,0.916576,0.0
Encoder,camera1,camera4,256,vote,0.930335,0.0,0.927043,0.0
Encoder,camera1,camera5,256,mean_individual_models,0.871327,0.025897,0.857016,0.036933
Encoder,camera1,camera5,256,sum,0.898094,0.0,0.887791,0.0
Encoder,camera1,camera5,256,mean_probs,0.898094,0.0,0.887791,0.0
Encoder,camera1,camera5,256,max,0.895645,0.0,0.883619,0.0
Encoder,camera1,camera5,256,mult,0.89673,0.0,0.884058,0.0
Encoder,camera1,camera5,256,vote,0.897441,0.0,0.887462,0.0
Encoder,camera1,camera6,256,mean_individual_models,0.897504,0.019135,0.887967,0.024992
Encoder,camera1,camera6,256,sum,0.920565,0.0,0.911398,0.0
Encoder,camera1,camera6,256,mean_probs,0.920565,0.0,0.911398,0.0
Encoder,camera1,camera6,256,max,0.919228,0.0,0.912898,0.0
Encoder,camera1,camera6,256,mult,0.92166,0.0,0.912206,0.0
Encoder,camera1,camera6,256,vote,0.920448,0.0,0.911398,0.0
Encoder,camera1,camera7,256,mean_individual_models,0.861982,0.023045,0.821828,0.038977
Encoder,camera1,camera7,256,sum,0.873492,0.0,0.831854,0.0
Encoder,camera1,camera7,256,mean_probs,0.873492,0.0,0.831854,0.0
Encoder,camera1,camera7,256,max,0.868842,0.0,0.829303,0.0
Encoder,camera1,camera7,256,mult,0.86985,0.0,0.824867,0.0
Encoder,camera1,camera7,256,vote,0.873355,0.0,0.832298,0.0
Encoder,camera1,camera8,256,mean_individual_models,0.893142,0.0235,0.882137,0.033089
Encoder,camera1,camera8,256,sum,0.921841,0.0,0.914352,0.0
Encoder,camera1,camera8,256,mean_probs,0.921841,0.0,0.914352,0.0
Encoder,camera1,camera8,256,max,0.927148,0.0,0.923129,0.0
Encoder,camera1,camera8,256,mult,0.916996,0.0,0.908661,0.0
Encoder,camera1,camera8,256,vote,0.92174,0.0,0.914448,0.0
Encoder,camera1,camera9,256,mean_individual_models,0.87148,0.019703,0.859611,0.030467
Encoder,camera1,camera9,256,sum,0.904531,0.0,0.897071,0.0
Encoder,camera1,camera9,256,mean_probs,0.904531,0.0,0.897071,0.0
Encoder,camera1,camera9,256,max,0.904637,0.0,0.900482,0.0
Encoder,camera1,camera9,256,mult,0.902479,0.0,0.894462,0.0
Encoder,camera1,camera9,256,vote,0.903627,0.0,0.896268,0.0
Encoder,camera1,PUC,256,mean_individual_models,0.78386,0.05784,0.771624,0.055248
Encoder,camera1,PUC,256,sum,0.827618,0.0,0.824603,0.0
Encoder,camera1,PUC,256,mean_probs,0.827618,0.0,0.824603,0.0
Encoder,camera1,PUC,256,max,0.748969,0.0,0.729456,0.0
Encoder,camera1,PUC,256,mult,0.769353,0.0,0.768986,0.0
Encoder,camera1,PUC,256,vote,0.827559,0.0,0.82456,0.0
Encoder,camera1,UFPR04,256,mean_individual_models,0.655113,0.097399,0.626797,0.104886
Encoder,camera1,UFPR04,256,sum,0.725803,0.0,0.727883,0.0
Encoder,camera1,UFPR04,256,mean_probs,0.725803,0.0,0.727883,0.0
Encoder,camera1,UFPR04,256,max,0.569345,0.0,0.49843,0.0
Encoder,camera1,UFPR04,256,mult,0.60538,0.0,0.586054,0.0
Encoder,camera1,UFPR04,256,vote,0.725736,0.0,0.727814,0.0
Encoder,camera1,UFPR05,256,mean_individual_models,0.679136,0.049239,0.650281,0.059729
Encoder,camera1,UFPR05,256,sum,0.722666,0.0,0.68245,0.0
Encoder,camera1,UFPR05,256,mean_probs,0.722666,0.0,0.68245,0.0
Encoder,camera1,UFPR05,256,max,0.755147,0.0,0.744618,0.0
Encoder,camera1,UFPR05,256,mult,0.726295,0.0,0.685891,0.0
Encoder,camera1,UFPR05,256,vote,0.722291,0.0,0.682271,0.0
Encoder,camera1,camera1,512,mean_individual_models,0.921835,0.014826,0.920479,0.016984
Encoder,camera1,camera1,512,sum,0.943921,0.0,0.944674,0.0
Encoder,camera1,camera1,512,mean_probs,0.943921,0.0,0.944674,0.0
Encoder,camera1,camera1,512,max,0.945798,0.0,0.946986,0.0
Encoder,camera1,camera1,512,mult,0.944869,0.0,0.945665,0.0
Encoder,camera1,camera1,512,vote,0.943283,0.0,0.944013,0.0
Encoder,camera1,camera2,512,mean_individual_models,0.948829,0.013747,0.946145,0.015205
Encoder,camera1,camera2,512,sum,0.970787,0.0,0.969388,0.0
Encoder,camera1,camera2,512,mean_probs,0.970787,0.0,0.969388,0.0
Encoder,camera1,camera2,512,max,0.971594,0.0,0.970522,0.0
Encoder,camera1,camera2,512,mult,0.969017,0.0,0.96712,0.0
Encoder,camera1,camera2,512,vote,0.970787,0.0,0.969388,0.0
Encoder,camera1,camera3,512,mean_individual_models,0.8749,0.034879,0.871459,0.03614
Encoder,camera1,camera3,512,sum,0.909694,0.0,0.905991,0.0
Encoder,camera1,camera3,512,mean_probs,0.909694,0.0,0.905991,0.0
Encoder,camera1,camera3,512,max,0.924466,0.0,0.922888,0.0
Encoder,camera1,camera3,512,mult,0.919076,0.0,0.915822,0.0
Encoder,camera1,camera3,512,vote,0.909595,0.0,0.905991,0.0
Encoder,camera1,camera4,512,mean_individual_models,0.914487,0.022767,0.91003,0.026203
Encoder,camera1,camera4,512,sum,0.94126,0.0,0.940009,0.0
Encoder,camera1,camera4,512,mean_probs,0.94126,0.0,0.940009,0.0
Encoder,camera1,camera4,512,max,0.947125,0.0,0.946883,0.0
Encoder,camera1,camera4,512,mult,0.935894,0.0,0.934541,0.0
Encoder,camera1,camera4,512,vote,0.940291,0.0,0.939072,0.0
Encoder,camera1,camera5,512,mean_individual_models,0.874218,0.020845,0.864087,0.02474
Encoder,camera1,camera5,512,sum,0.900558,0.0,0.891963,0.0
Encoder,camera1,camera5,512,mean_probs,0.900558,0.0,0.891963,0.0
Encoder,camera1,camera5,512,max,0.907955,0.0,0.901954,0.0
Encoder,camera1,camera5,512,mult,0.899506,0.0,0.890316,0.0
Encoder,camera1,camera5,512,vote,0.900134,0.0,0.891414,0.0
Encoder,camera1,camera6,512,mean_individual_models,0.900468,0.014791,0.894739,0.016634
Encoder,camera1,camera6,512,sum,0.925274,0.0,0.919705,0.0
Encoder,camera1,camera6,512,mean_probs,0.925274,0.0,0.919705,0.0
Encoder,camera1,camera6,512,max,0.929026,0.0,0.927319,0.0
Encoder,camera1,camera6,512,mult,0.924069,0.0,0.919359,0.0
Encoder,camera1,camera6,512,vote,0.925044,0.0,0.919589,0.0
Encoder,camera1,camera7,512,mean_individual_models,0.864648,0.018575,0.833208,0.025641
Encoder,camera1,camera7,512,sum,0.877525,0.0,0.846273,0.0
Encoder,camera1,camera7,512,mean_probs,0.877525,0.0,0.846273,0.0
Encoder,camera1,camera7,512,max,0.885616,0.0,0.862689,0.0
Encoder,camera1,camera7,512,mult,0.875543,0.0,0.8435,0.0
Encoder,camera1,camera7,512,vote,0.877707,0.0,0.846384,0.0
Encoder,camera1,camera8,512,mean_individual_models,0.895614,0.01332,0.889236,0.016153
Encoder,camera1,camera8,512,sum,0.923914,0.0,0.91956,0.0
Encoder,camera1,camera8,512,mean_probs,0.923914,0.0,0.91956,0.0
Encoder,camera1,camera8,512,max,0.933949,0.0,0.93287,0.0
Encoder,camera1,camera8,512,mult,0.924917,0.0,0.921103,0.0
Encoder,camera1,camera8,512,vote,0.923536,0.0,0.919271,0.0
Encoder,camera1,camera9,512,mean_individual_models,0.87773,0.012927,0.870907,0.017676
Encoder,camera1,camera9,512,sum,0.912551,0.0,0.907705,0.0
Encoder,camera1,camera9,512,mean_probs,0.912551,0.0,0.907705,0.0
Encoder,camera1,camera9,512,max,0.923493,0.0,0.922552,0.0
Encoder,camera1,camera9,512,mult,0.913268,0.0,0.908307,0.0
Encoder,camera1,camera9,512,vote,0.911741,0.0,0.906902,0.0
Encoder,camera1,PUC,512,mean_individual_models,0.780376,0.042105,0.772878,0.045982
Encoder,camera1,PUC,512,sum,0.817356,0.0,0.815628,0.0
Encoder,camera1,PUC,512,mean_probs,0.817356,0.0,0.815628,0.0
Encoder,camera1,PUC,512,max,0.772896,0.0,0.733433,0.0
Encoder,camera1,PUC,512,mult,0.771337,0.0,0.757767,0.0
Encoder,camera1,PUC,512,vote,0.817502,0.0,0.815795,0.0
Encoder,camera1,UFPR04,512,mean_individual_models,0.618487,0.05771,0.580609,0.069147
Encoder,camera1,UFPR04,512,sum,0.636593,0.0,0.596062,0.0
Encoder,camera1,UFPR04,512,mean_probs,0.636593,0.0,0.596062,0.0
Encoder,camera1,UFPR04,512,max,0.634966,0.0,0.50531,0.0
Encoder,camera1,UFPR04,512,mult,0.651506,0.0,0.574234,0.0
Encoder,camera1,UFPR04,512,vote,0.636375,0.0,0.595808,0.0
Encoder,camera1,UFPR05,512,mean_individual_models,0.701698,0.069487,0.687236,0.075112
Encoder,camera1,UFPR05,512,sum,0.74908,0.0,0.733391,0.0
Encoder,camera1,UFPR05,512,mean_probs,0.74908,0.0,0.733391,0.0
Encoder,camera1,UFPR05,512,max,0.764906,0.0,0.768423,0.0
Encoder,camera1,UFPR05,512,mult,0.781914,0.0,0.773343,0.0
Encoder,camera1,UFPR05,512,vote,0.74852,0.0,0.733025,0.0
Encoder,camera1,camera1,1024,mean_individual_models,0.930097,0.009436,0.929232,0.010399
Encoder,camera1,camera1,1024,sum,0.952872,0.0,0.953757,0.0
Encoder,camera1,camera1,1024,mean_probs,0.952872,0.0,0.953757,0.0
Encoder,camera1,camera1,1024,max,0.95361,0.0,0.954913,0.0
Encoder,camera1,camera1,1024,mult,0.953531,0.0,0.954583,0.0
Encoder,camera1,camera1,1024,vote,0.953028,0.0,0.953922,0.0
Encoder,camera1,camera2,1024,mean_individual_models,0.942394,0.015868,0.939229,0.016818
Encoder,camera1,camera2,1024,sum,0.96178,0.0,0.959184,0.0
Encoder,camera1,camera2,1024,mean_probs,0.96178,0.0,0.959184,0.0
Encoder,camera1,camera2,1024,max,0.957601,0.0,0.956916,0.0
Encoder,camera1,camera2,1024,mult,0.948934,0.0,0.944444,0.0
Encoder,camera1,camera2,1024,vote,0.96178,0.0,0.959184,0.0
Encoder,camera1,camera3,1024,mean_individual_models,0.892785,0.027659,0.889339,0.027828
Encoder,camera1,camera3,1024,sum,0.933053,0.0,0.928418,0.0
Encoder,camera1,camera3,1024,mean_probs,0.933053,0.0,0.928418,0.0
Encoder,camera1,camera3,1024,max,0.944482,0.0,0.943779,0.0
Encoder,camera1,camera3,1024,mult,0.941059,0.0,0.937327,0.0
Encoder,camera1,camera3,1024,vote,0.933308,0.0,0.928725,0.0
Encoder,camera1,camera4,1024,mean_individual_models,0.905034,0.016373,0.899,0.020916
Encoder,camera1,camera4,1024,sum,0.930391,0.0,0.925793,0.0
Encoder,camera1,camera4,1024,mean_probs,0.930391,0.0,0.925793,0.0
Encoder,camera1,camera4,1024,max,0.928707,0.0,0.926574,0.0
Encoder,camera1,camera4,1024,mult,0.925686,0.0,0.921262,0.0
Encoder,camera1,camera4,1024,vote,0.930593,0.0,0.926105,0.0
Encoder,camera1,camera5,1024,mean_individual_models,0.879231,0.015273,0.866162,0.02213
Encoder,camera1,camera5,1024,sum,0.909776,0.0,0.900637,0.0
Encoder,camera1,camera5,1024,mean_probs,0.909776,0.0,0.900637,0.0
Encoder,camera1,camera5,1024,max,0.915025,0.0,0.909969,0.0
Encoder,camera1,camera5,1024,mult,0.911406,0.0,0.902833,0.0
Encoder,camera1,camera5,1024,vote,0.909358,0.0,0.900307,0.0
Encoder,camera1,camera6,1024,mean_individual_models,0.90865,0.011551,0.903761,0.012234
Encoder,camera1,camera6,1024,sum,0.935447,0.0,0.93078,0.0
Encoder,camera1,camera6,1024,mean_probs,0.935447,0.0,0.93078,0.0
Encoder,camera1,camera6,1024,max,0.934037,0.0,0.933203,0.0
Encoder,camera1,camera6,1024,mult,0.932423,0.0,0.929165,0.0
Encoder,camera1,camera6,1024,vote,0.935034,0.0,0.930434,0.0
Encoder,camera1,camera7,1024,mean_individual_models,0.875967,0.013958,0.847161,0.024508
Encoder,camera1,camera7,1024,sum,0.891649,0.0,0.863132,0.0
Encoder,camera1,camera7,1024,mean_probs,0.891649,0.0,0.863132,0.0
Encoder,camera1,camera7,1024,max,0.895017,0.0,0.878771,0.0
Encoder,camera1,camera7,1024,mult,0.890889,0.0,0.866681,0.0
Encoder,camera1,camera7,1024,vote,0.891222,0.0,0.862799,0.0
Encoder,camera1,camera8,1024,mean_individual_models,0.908054,0.009873,0.902402,0.010973
Encoder,camera1,camera8,1024,sum,0.941055,0.0,0.937404,0.0
Encoder,camera1,camera8,1024,mean_probs,0.941055,0.0,0.937404,0.0
Encoder,camera1,camera8,1024,max,0.941189,0.0,0.940394,0.0
Encoder,camera1,camera8,1024,mult,0.937966,0.0,0.934992,0.0
Encoder,camera1,camera8,1024,vote,0.94091,0.0,0.937307,0.0
Encoder,camera1,camera9,1024,mean_individual_models,0.873754,0.017144,0.865349,0.021826
Encoder,camera1,camera9,1024,sum,0.909736,0.0,0.903692,0.0
Encoder,camera1,camera9,1024,mean_probs,0.909736,0.0,0.903692,0.0
Encoder,camera1,camera9,1024,max,0.904243,0.0,0.903291,0.0
Encoder,camera1,camera9,1024,mult,0.897558,0.0,0.891252,0.0
Encoder,camera1,camera9,1024,vote,0.908765,0.0,0.902488,0.0
Encoder,camera1,PUC,1024,mean_individual_models,0.779218,0.03857,0.771948,0.041538
Encoder,camera1,PUC,1024,sum,0.821591,0.0,0.821025,0.0
Encoder,camera1,PUC,1024,mean_probs,0.821591,0.0,0.821025,0.0
Encoder,camera1,PUC,1024,max,0.777103,0.0,0.723475,0.0
Encoder,camera1,PUC,1024,mult,0.762,0.0,0.738128,0.0
Encoder,camera1,PUC,1024,vote,0.821533,0.0,0.820967,0.0
Encoder,camera1,UFPR04,1024,mean_individual_models,0.64065,0.068861,0.60335,0.096337
Encoder,camera1,UFPR04,1024,sum,0.650237,0.0,0.595634,0.0
Encoder,camera1,UFPR04,1024,mean_probs,0.650237,0.0,0.595634,0.0
Encoder,camera1,UFPR04,1024,max,0.591652,0.0,0.477064,0.0
Encoder,camera1,UFPR04,1024,mult,0.61261,0.0,0.507111,0.0
Encoder,camera1,UFPR04,1024,vote,0.64985,0.0,0.595277,0.0
Encoder,camera1,UFPR05,1024,mean_individual_models,0.708894,0.040993,0.698697,0.041232
Encoder,camera1,UFPR05,1024,sum,0.746882,0.0,0.743386,0.0
Encoder,camera1,UFPR05,1024,mean_probs,0.746882,0.0,0.743386,0.0
Encoder,camera1,UFPR05,1024,max,0.743044,0.0,0.743677,0.0
Encoder,camera1,UFPR05,1024,mult,0.786736,0.0,0.78663,0.0
Encoder,camera1,UFPR05,1024,vote,0.746306,0.0,0.742886,0.0
Encoder,camera2,camera1,64,mean_individual_models,0.776213,0.022191,0.692964,0.035325
Encoder,camera2,camera1,64,sum,0.791997,0.0,0.694467,0.0
Encoder,camera2,camera1,64,mean_probs,0.791997,0.0,0.694467,0.0
Encoder,camera2,camera1,64,max,0.794952,0.0,0.701404,0.0
Encoder,camera2,camera1,64,mult,0.792487,0.0,0.693476,0.0
